"","Gender","Age","Location","Education","Major","Title","Industry","Experience","DataScientist","PrimarySkill","skill1"
"534","Male","30-34","United States of America","Master’s degree","Engineering (non-computer focused)","Salesperson",NA,NA,NA,NA,NA
"535","Male","18-21","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"536","Male","25-29","Canada","Doctoral degree","Engineering (non-computer focused)","Student","Academics/Education",NA,NA,NA,NA
"537","Male","25-29","Israel",NA,NA,NA,NA,NA,NA,NA,NA
"538","Female","45-49","Viet Nam","Master’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"539","Male","18-21","India","No formal education past high school",NA,NA,NA,NA,NA,NA,NA
"540","Prefer not to say","25-29","I do not wish to disclose my location","I prefer not to answer","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"541","Male","25-29","China","Master’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"542","Male","18-21","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"543","Male","40-44","United States of America","Master’s degree","Mathematics or statistics","Data Analyst","Government/Public Service",NA,NA,NA,NA
"544","Male","22-24","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"545","Male","25-29","Russia",NA,NA,NA,NA,NA,NA,NA,NA
"546","Male","30-34","India","Master’s degree","Other","Data Analyst","Computers/Technology","2-3",NA,NA,"I do not know"
"547","Male","25-29","China","Some college/university study without earning a bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"548","Male","18-21","India",NA,NA,NA,NA,NA,NA,NA,NA
"549","Female","18-21","India","Bachelor’s degree","Other","Data Analyst","Accounting/Finance",NA,"Definitely not",NA,"I do not know"
"550","Male","25-29","India","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"551","Male","25-29","United States of America","Bachelor’s degree","Mathematics or statistics","Software Engineer","Accounting/Finance","5-10",NA,NA,NA
"552","Female","22-24","United States of America","Bachelor’s degree","Physics or astronomy","Student","Academics/Education",NA,NA,NA,"I do not know"
"553","Male","25-29","I do not wish to disclose my location","I prefer not to answer","Engineering (non-computer focused)","Other",NA,NA,NA,NA,NA
"554","Male","30-34","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"555","Male","22-24","China","I prefer not to answer","Mathematics or statistics","Student","Academics/Education","0-1",NA,NA,NA
"556","Male","18-21","India","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"557","Male","22-24","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"558","Male","25-29","Germany","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"559","Female","70-79","Other",NA,NA,NA,NA,NA,NA,NA,NA
"560","Male","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"561","Male","22-24","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"562","Male","22-24","India","No formal education past high school",NA,NA,NA,NA,NA,NA,NA
"563","Female","18-21","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"564","Female","22-24","Portugal","Master’s degree","Engineering (non-computer focused)","Student","I am a student","4-5",NA,NA,"I do not know"
"565","Male","22-24","Argentina","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"566","Male","30-34","Russia",NA,NA,NA,NA,NA,NA,NA,NA
"567","Male","35-39","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"568","Male","22-24","Netherlands","Master’s degree","Other","Data Scientist","I am a student","1-2",NA,NA,NA
"569","Male","30-34","Mexico",NA,NA,NA,NA,NA,NA,NA,NA
"570","Male","35-39","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"571","Male","30-34","India","Bachelor’s degree","Engineering (non-computer focused)","Consultant",NA,NA,NA,NA,NA
"572","Male","30-34","United States of America","Master’s degree","Physics or astronomy","Not employed",NA,NA,NA,NA,NA
"573","Male","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"574","Female","18-21","Ukraine","Bachelor’s degree","Mathematics or statistics","Not employed",NA,NA,NA,NA,NA
"575","Male","22-24","China","Master’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"576","Prefer not to say","80+","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"577","Female","22-24","I do not wish to disclose my location","Master’s degree","Mathematics or statistics","Student","I am a student","10-15",NA,NA,"I do not know"
"578","Female","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"579","Female","35-39","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"580","Male","18-21","China","Some college/university study without earning a bachelor’s degree","Physics or astronomy",NA,NA,NA,NA,NA,NA
"581","Male","25-29","Other","Bachelor’s degree","Mathematics or statistics","Student","Academics/Education",NA,NA,NA,NA
"582","Male","18-21","Mexico","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2","Maybe",NA,"No (we do not use ML methods)"
"583","Female","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"584","Male","25-29","Other","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"585","Male","30-34","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"586","Male","25-29","United States of America","Master’s degree","Mathematics or statistics","Student","I am a student",NA,NA,NA,"I do not know"
"587","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"588","Female","35-39","Mexico","Bachelor’s degree","Mathematics or statistics","Data Scientist","Computers/Technology",NA,NA,NA,NA
"589","Male","18-21","India","Bachelor’s degree","Mathematics or statistics","Student","I am a student","10-15",NA,NA,NA
"590","Male","30-34","United States of America","Master’s degree","Engineering (non-computer focused)","Data Engineer","Academics/Education","5-10","Probably not",NA,"No (we do not use ML methods)"
"591","Male","22-24","France","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","4-5",NA,NA,NA
"592","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,NA
"593","Male","25-29","Nigeria","No formal education past high school",NA,"Student","I am a student","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"594","Male","25-29","Indonesia","Doctoral degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"595","Male","22-24","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Data Scientist",NA,NA,NA,NA,NA
"596","Male","35-39","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"597","Female","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Data Analyst",NA,NA,NA,NA,NA
"598","Male","22-24","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"599","Male","22-24","South Korea","Some college/university study without earning a bachelor’s degree","I never declared a major","Student",NA,NA,NA,NA,NA
"600","Male","18-21","United States of America","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","Manufacturing/Fabrication","3-4",NA,NA,NA
"601","Male","35-39","Brazil","Master’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"602","Male","45-49","United States of America","Master’s degree","Engineering (non-computer focused)","Other","Government/Public Service","25-30",NA,NA,NA
"603","Male","35-39","Canada","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"604","Male","22-24","Hong Kong (S.A.R.)","Master’s degree","Physics or astronomy","Student","I am a student","3-4",NA,NA,"I do not know"
"605","Male","35-39","United States of America","Master’s degree","Engineering (non-computer focused)","Product/Project Manager","Energy/Mining","0-1",NA,NA,NA
"606","Male","25-29","France","Master’s degree","Mathematics or statistics","Data Scientist","Retail/Sales","2-3",NA,NA,NA
"607","Male","22-24","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","2-3",NA,NA,"No (we do not use ML methods)"
"608","Male","35-39","Germany","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"609","Female","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"610","Prefer not to say","55-59","United States of America","I prefer not to answer","Mathematics or statistics","Research Scientist","Academics/Education",NA,NA,NA,NA
"611","Male","35-39","United States of America","Master’s degree","Engineering (non-computer focused)","Data Engineer","Computers/Technology","5-10",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"612","Male","30-34","Canada","Master’s degree","Environmental science or geology","Student","Energy/Mining","4-5",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"613","Male","35-39","Brazil","Bachelor’s degree","Other","Student","Retail/Sales","15-20",NA,NA,"I do not know"
"614","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"615","Male","25-29","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"616","Male","25-29","United States of America","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Data Scientist",NA,NA,NA,NA,NA
"617","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","Academics/Education",NA,NA,NA,NA
"618","Male","25-29","Russia",NA,NA,NA,NA,NA,NA,NA,NA
"619","Male","22-24","India","Master’s degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology","1-2",NA,NA,"No (we do not use ML methods)"
"620","Male","22-24","Spain","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"621","Female","22-24","Brazil","Master’s degree","Mathematics or statistics","Not employed",NA,NA,"Definitely not",NA,NA
"622","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","Manufacturing/Fabrication","3-4",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"623","Female","25-29","India",NA,NA,NA,NA,NA,NA,NA,NA
"624","Male","22-24","India","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"625","Female","22-24","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"626","Male","18-21","United States of America","Master’s degree","Engineering (non-computer focused)","Student",NA,NA,NA,NA,NA
"627","Male","18-21","Brazil","Bachelor’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"628","Male","50-54","United States of America","Master’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"629","Male","35-39","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"630","Male","35-39","United States of America","Doctoral degree","Mathematics or statistics","Chief Officer",NA,NA,NA,NA,NA
"631","Female","18-21","United States of America","Some college/university study without earning a bachelor’s degree","I never declared a major","Student","I am a student","3-4",NA,NA,"I do not know"
"632","Male","22-24","Sweden","Master’s degree","Physics or astronomy","Student",NA,NA,NA,NA,NA
"633","Male","40-44","Brazil","Master’s degree","Fine arts or performing arts","Business Analyst",NA,NA,NA,NA,NA
"634","Male","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"635","Male","25-29","Switzerland","Professional degree",NA,NA,NA,NA,NA,NA,NA
"636","Male","25-29","Nigeria","Master’s degree","Mathematics or statistics","Statistician","I am a student","3-4",NA,NA,NA
"637","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"638","Female","30-34","United States of America","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"639","Female","18-21","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"I do not know"
"640","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"No (we do not use ML methods)"
"641","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Business Analyst","Computers/Technology","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"642","Male","35-39","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"643","Male","35-39","China","Master’s degree","Engineering (non-computer focused)","Data Scientist","Academics/Education","3-4",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"644","Male","18-21","United States of America","Some college/university study without earning a bachelor’s degree","Other","Student","I am a student",NA,NA,NA,NA
"645","Male","22-24","Indonesia","Bachelor’s degree","Mathematics or statistics","Statistician",NA,NA,NA,NA,NA
"646","Male","22-24","South Korea",NA,NA,NA,NA,NA,NA,NA,NA
"647","Prefer not to say","22-24","India","Master’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"648","Male","35-39","China",NA,NA,NA,NA,NA,NA,NA,NA
"649","Female","18-21","South Korea","Bachelor’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"650","Female","30-34","United Kingdom of Great Britain and Northern Ireland","Doctoral degree","Engineering (non-computer focused)","Data Scientist","Retail/Sales","0-1",NA,NA,NA
"651","Male","22-24","Other",NA,NA,NA,NA,NA,NA,NA,NA
"652","Male","30-34","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"653","Female","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"654","Male","18-21","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"655","Male","25-29","India","Master’s degree","Engineering (non-computer focused)","Data Scientist","Retail/Sales","4-5",NA,NA,NA
"656","Female","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"657","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"658","Male","50-54","United States of America","Doctoral degree","Other",NA,NA,NA,NA,NA,NA
"659","Male","25-29","China","Master’s degree","Other","Student","I am a student","4-5","Probably yes",NA,"We are exploring ML methods (and may one day put a model into production)"
"660","Female","22-24","China","Master’s degree","Mathematics or statistics","Data Scientist","Computers/Technology",NA,NA,NA,NA
"661","Male","30-34","Brazil","Professional degree",NA,NA,NA,NA,NA,NA,NA
"662","Male","60-69","Colombia","Bachelor’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"663","Male","25-29","Russia",NA,NA,NA,NA,NA,NA,NA,NA
"664","Male","45-49","Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA
"665","Female","18-21","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","10-15",NA,NA,NA
"666","Male","40-44","Ukraine","Master’s degree","Engineering (non-computer focused)","Data Scientist",NA,NA,NA,NA,NA
"667","Male","18-21","Brazil","Bachelor’s degree","Mathematics or statistics","Data Scientist","Computers/Technology",NA,NA,NA,NA
"668","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","Accounting/Finance","1-2",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"669","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student",NA,NA,NA,"I do not know"
"670","Prefer not to say","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"671","Male","22-24","I do not wish to disclose my location","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"672","Male","25-29","China","Some college/university study without earning a bachelor’s degree","Physics or astronomy",NA,NA,NA,NA,NA,NA
"673","Male","40-44","India","Professional degree","Physics or astronomy","Data Scientist","Computers/Technology","15-20",NA,NA,NA
"674","Male","22-24","Russia","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"675","Male","30-34","United States of America","Doctoral degree","Engineering (non-computer focused)","Data Scientist","Marketing/CRM",NA,NA,NA,NA
"676","Male","35-39","Brazil","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"677","Male","30-34","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"678","Male","45-49","United States of America","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"679","Female","25-29","Other","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"680","Male","25-29","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"681","Male","25-29","India","Master’s degree","Engineering (non-computer focused)","Consultant",NA,NA,NA,NA,NA
"682","Male","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"683","Male","22-24","China","No formal education past high school",NA,NA,NA,NA,NA,NA,NA
"684","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","Medical/Pharmaceutical","0-1",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"685","Male","35-39","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"686","Male","40-44","Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA
"687","Male","22-24","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"688","Prefer not to say","80+","I do not wish to disclose my location","No formal education past high school",NA,"Not employed",NA,NA,"Probably not",NA,NA
"689","Male","18-21","India","Professional degree",NA,NA,NA,NA,NA,NA,NA
"690","Male","40-44","Portugal","Doctoral degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"691","Female","30-34","Other","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"692","Male","40-44","Russia","Master’s degree","Mathematics or statistics","Statistician","Computers/Technology","5-10",NA,NA,NA
"693","Male","22-24","India","Master’s degree","Physics or astronomy","Student","I am a student",NA,NA,NA,"I do not know"
"694","Male","30-34","South Africa",NA,NA,NA,NA,NA,NA,NA,NA
"695","Female","22-24","Other","Master’s degree","Mathematics or statistics","Student","I am a student","4-5",NA,NA,NA
"696","Male","25-29","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"697","Female","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Software Engineer","Marketing/CRM","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"698","Prefer not to say","35-39","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"699","Male","30-34","Ukraine","Bachelor’s degree","I never declared a major",NA,NA,NA,NA,NA,NA
"700","Male","22-24","India","Master’s degree","Mathematics or statistics","Student","I am a student",NA,NA,NA,NA
"701","Male","25-29","Germany",NA,NA,NA,NA,NA,NA,NA,NA
"702","Male","40-44","Ukraine","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"703","Male","22-24","Russia","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"704","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","15-20",NA,NA,NA
"705","Male","30-34","United Kingdom of Great Britain and Northern Ireland","Doctoral degree","Physics or astronomy","Research Scientist","Academics/Education","4-5",NA,NA,NA
"706","Male","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"707","Male","18-21","Ukraine","No formal education past high school",NA,"Student","I am a student","0-1",NA,NA,"I do not know"
"708","Male","18-21","China","Some college/university study without earning a bachelor’s degree","Physics or astronomy","Data Scientist","Academics/Education","0-1",NA,NA,NA
"709","Male","35-39","Spain","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"710","Male","25-29","India","Bachelor’s degree","Engineering (non-computer focused)","Data Scientist","Other","0-1",NA,NA,NA
"711","Male","35-39","Norway",NA,NA,NA,NA,NA,NA,NA,NA
"712","Male","25-29","Kenya","No formal education past high school",NA,"Business Analyst",NA,NA,NA,NA,NA
"713","Female","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student","10-15",NA,NA,NA
"714","Prefer not to say","22-24","France","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"715","Male","18-21","Russia","Bachelor’s degree","Mathematics or statistics","Data Scientist","Computers/Technology","0-1",NA,NA,NA
"716","Male","40-44","Other","Master’s degree","Physics or astronomy","Product/Project Manager","Computers/Technology","4-5",NA,NA,"I do not know"
"717","Male","35-39","Germany","Master’s degree","Other","Data Scientist",NA,NA,NA,NA,NA
"718","Male","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"719","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Data Scientist","Insurance/Risk Assessment","1-2",NA,NA,NA
"720","Prefer not to say","25-29","Russia","Doctoral degree","Mathematics or statistics","Not employed",NA,NA,"Maybe",NA,NA
"721","Male","22-24","Germany","Master’s degree","Engineering (non-computer focused)","Student",NA,NA,NA,NA,NA
"722","Male","18-21","Spain","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"723","Male","18-21","Egypt",NA,NA,NA,NA,NA,NA,NA,NA
"724","Male","25-29","Russia","Bachelor’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"725","Female","30-34","I do not wish to disclose my location","Doctoral degree","Engineering (non-computer focused)","Data Scientist",NA,NA,NA,NA,NA
"726","Male","25-29","France","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"727","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Marketing Analyst","I am a student","10-15",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"728","Male","35-39","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"729","Female","22-24","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Physics or astronomy","Data Scientist",NA,NA,NA,NA,NA
"730","Male","22-24","France","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"731","Male","18-21","India","No formal education past high school",NA,"Student",NA,NA,NA,NA,NA
"732","Male","25-29","Italy","Master’s degree","Engineering (non-computer focused)","Consultant",NA,NA,NA,NA,NA
"733","Male","30-34","India","Master’s degree","Engineering (non-computer focused)","Research Assistant","Academics/Education","0-1",NA,NA,NA
"734","Male","22-24","Romania","Doctoral degree","Environmental science or geology","Data Analyst","Academics/Education","2-3",NA,NA,NA
"735","Male","25-29","Russia",NA,NA,NA,NA,NA,NA,NA,NA
"736","Female","18-21","Turkey","Master’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,NA
"737","Female","25-29","India","Master’s degree","Engineering (non-computer focused)","Business Analyst","I am a student",NA,NA,NA,"I do not know"
"738","Male","18-21","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"739","Male","25-29","India","Master’s degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"740","Male","30-34","France",NA,NA,NA,NA,NA,NA,NA,NA
"741","Male","22-24","Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA
"742","Prefer not to say","30-34","I do not wish to disclose my location","Master’s degree","Engineering (non-computer focused)","Research Assistant","Computers/Technology","4-5",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"743","Male","45-49","India","Master’s degree","Engineering (non-computer focused)","Developer Advocate","Other","4-5",NA,NA,NA
"744","Male","35-39","Spain","Professional degree",NA,NA,NA,NA,NA,NA,NA
"745","Male","25-29","Germany","Master’s degree","Engineering (non-computer focused)","Student",NA,NA,NA,NA,NA
"746","Male","18-21","Other",NA,NA,NA,NA,NA,NA,NA,NA
"747","Female","18-21","New Zealand","Bachelor’s degree","Other","Student",NA,NA,NA,NA,NA
"748","Female","18-21","China","No formal education past high school",NA,"Student","I am a student","1-2",NA,NA,"No (we do not use ML methods)"
"749","Male","25-29","Sweden","Master’s degree","Engineering (non-computer focused)","Student","I am a student",NA,NA,NA,"I do not know"
"750","Male","18-21","Denmark","Some college/university study without earning a bachelor’s degree","Physics or astronomy","Student","I am a student","5-10",NA,NA,"No (we do not use ML methods)"
"751","Male","25-29","United Kingdom of Great Britain and Northern Ireland","Doctoral degree","Physics or astronomy","Data Scientist","Government/Public Service",NA,NA,NA,NA
"752","Female","30-34","China","Doctoral degree","Engineering (non-computer focused)","Student","Academics/Education","0-1",NA,NA,"I do not know"
"753","Male","30-34","India","I prefer not to answer","Engineering (non-computer focused)","Software Engineer","Computers/Technology","5-10","Definitely yes",NA,"No (we do not use ML methods)"
"754","Male","25-29","India","Bachelor’s degree","Physics or astronomy","Other","Academics/Education","3-4","Maybe",NA,"No (we do not use ML methods)"
"755","Male","22-24","Russia","Master’s degree","Mathematics or statistics","Student",NA,NA,NA,NA,NA
"756","Male","25-29","Italy","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"757","Male","55-59","Spain","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"758","Male","30-34","Japan",NA,NA,NA,NA,NA,NA,NA,NA
"759","Male","40-44","Germany",NA,NA,NA,NA,NA,NA,NA,NA
"760","Male","22-24","India","Master’s degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"761","Male","35-39","India",NA,NA,NA,NA,NA,NA,NA,NA
"762","Male","18-21","Germany","Bachelor’s degree","Physics or astronomy","Student","Academics/Education","2-3",NA,NA,"I do not know"
"763","Male","25-29","Spain","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"764","Male","22-24","Other",NA,NA,NA,NA,NA,NA,NA,NA
"765","Male","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"766","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student",NA,NA,NA,NA
"767","Male","22-24","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Mathematics or statistics","Student","Other","0-1",NA,NA,NA
"768","Female","22-24","Other",NA,NA,NA,NA,NA,NA,NA,NA
"769","Male","25-29","Other","Master’s degree","Physics or astronomy","Consultant",NA,NA,NA,NA,NA
"770","Male","18-21","Russia","Master’s degree","Mathematics or statistics","Data Scientist",NA,NA,NA,NA,NA
"771","Male","18-21","India","Bachelor’s degree","Other","Student","I am a student","15-20",NA,NA,NA
"772","Male","30-34","Sweden","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"773","Male","22-24","Japan","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"774","Male","25-29","Russia","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"775","Male","25-29","Russia","Master’s degree","Engineering (non-computer focused)","Data Scientist",NA,NA,NA,NA,NA
"776","Male","30-34","China",NA,NA,NA,NA,NA,NA,NA,NA
"777","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student",NA,NA,NA,"I do not know"
"778","Male","22-24","Italy","Master’s degree","Mathematics or statistics","Student","I am a student",NA,NA,NA,NA
"779","Male","35-39","Japan","Doctoral degree","Mathematics or statistics","Research Scientist","Computers/Technology","4-5","Definitely not",NA,"We use ML methods for generating insights (but do not put working models into production)"
"780","Male","18-21","United States of America","No formal education past high school",NA,NA,NA,NA,NA,NA,NA
"781","Male","35-39","Japan",NA,NA,NA,NA,NA,NA,NA,NA
"782","Male","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"783","Male","25-29","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"I do not know"
"784","Female","22-24","Italy","Master’s degree","Mathematics or statistics","Data Scientist","I am a student","2-3",NA,NA,NA
"785","Male","18-21","India",NA,NA,NA,NA,NA,NA,NA,NA
"786","Male","40-44","Poland","Master’s degree","Mathematics or statistics","Other",NA,NA,NA,NA,NA
"787","Prefer not to say","22-24","Republic of Korea","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"788","Male","18-21","India",NA,NA,NA,NA,NA,NA,NA,NA
"789","Male","30-34","Turkey","Some college/university study without earning a bachelor’s degree","Other","Manager","Other","10-15",NA,NA,NA
"790","Female","22-24","India","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"No (we do not use ML methods)"
"791","Male","25-29","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"792","Male","40-44","Russia",NA,NA,NA,NA,NA,NA,NA,NA
"793","Prefer not to say","25-29","Australia",NA,NA,NA,NA,NA,NA,NA,NA
"794","Male","22-24","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"795","Male","25-29","Poland","Bachelor’s degree","Mathematics or statistics","Student",NA,NA,NA,NA,NA
"796","Male","18-21","Ukraine","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"797","Female","22-24","Italy","Master’s degree","Mathematics or statistics","Statistician","Academics/Education","0-1",NA,NA,"I do not know"
"798","Male","30-34","Russia","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"799","Male","40-44","France","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"800","Male","40-44","Japan",NA,NA,NA,NA,NA,NA,NA,NA
